"school_name" "country" "Year" "rank_int" "ranking_range" "teaching_new" "research_new" "international_new" "citations_new" "income_new" "overall_new" "lon" "lat" "teachingMean2" "internationalMean2" "citationsMean2" "incomeMean2" "overallMean2" "researchMean2"
"35" "American University of Beirut" "Lebanon" 2016 501 "501-600" 27.7 11.2 93 31.9 NA NA 35.862285 33.854721 NA NA NA NA NA NA
"36" "Vilnius University" "Lithuania" 2016 601 "601-800" 18.3 13.6 40.8 26.1 41 21.5 23.881275 55.169438 NA NA NA NA NA NA
"37" "University of Luxembourg" "Luxembourg" 2016 193 "176-200" 25 26.7 99.8 84.8 38.1 49.4 6.129583 49.815273 NA NA NA NA NA NA
"38" "University of Macau" "Macau" 2016 401 "401-500" 18.5 17 98.4 49.7 34.9 33.8 113.543873 22.198745 NA NA NA NA NA NA
"39" "Universiti Teknologi Malaysia" "Malaysia" 2016 401 "401-500" 26.3 14.6 51.7 44.7 31.1 30.3 101.975766 4.210484 22.925 34.7 12.925 31.325 18.7 15.275
"40" "National Autonomous University of Mexico" "Mexico" 2016 401 "401-500" 42.7 40.2 35.9 14.8 63.7 33.6 -102.552784 23.634501 23.9 59.6 23.4 75.8 24.4 12.7
"41" "University of Marrakech Cadi Ayyad" "Morocco" 2016 601 "601-800" 17.4 6.3 42.7 12.1 29.2 14.7 -7.09262 31.791702 NA NA NA NA NA NA
"42" "Wageningen University and Research Center" "Netherlands" 2016 47 "26-50" 52.6 66.9 70.3 87.8 100 70 5.291266 52.132633 40.75 70.4083333333333 79.2583333333333 70.775 59.1916666666667 53.75
"43" "University of Auckland" "New Zealand" 2016 172 "151-175" 31.4 39.5 90.5 69.8 78 51 174.885971 -40.900557 23.3166666666667 88.8 44.2333333333333 37.3666666666667 34.2166666666667 21.1333333333333
"44" "University of Ibadan" "Nigeria" 2016 601 "601-800" 22.7 11.1 26.1 4.6 29.2 14.2 8.675277 9.081999 NA NA NA NA NA NA
"45" "University of Oslo" "Norway" 2016 135 "126-150" 43.3 44.7 68.2 75.5 38.3 55.1 8.468946 60.472024 25.1 65.3333333333333 67 41.6 41.2 25.3333333333333
"46" "Sultan Qaboos University" "Oman" 2016 601 "601-800" 21.3 10.6 71.5 16 37.6 20.7 55.923255 21.512583 NA NA NA NA NA NA
"47" "Quaid-i-azam University" "Pakistan" 2016 501 "501-600" 17.9 9.9 35.4 45.6 31.3 25.5 69.345116 30.375321 21.4 31.3 35 31.3 22.1 7
"48" "University of Warsaw" "Poland" 2016 501 "501-600" 26.1 15.8 41.6 42.2 28.5 29.1 19.145136 51.919438 18.4666666666667 22.0666666666667 26.2666666666667 33.65 18.65 9.18333333333333
"49" "Instituto Superior Técnico Lisboa" "Portugal" 2016 351 "351-400" 22.2 25 43.7 59.8 38.8 36.3 -8.224454 39.399872 26.9666666666667 45.3666666666667 38.2 40.3166666666667 31.0333333333333 23.5833333333333
"50" "Qatar University" "Qatar" 2016 601 "601-800" 9.9 10.3 99.9 22.3 55.2 21.6 51.183884 25.354826 NA NA NA NA NA NA
"51" "Babeş-Bolyai University" "Romania" 2016 501 "501-600" 27.9 12.5 35.4 32.1 28.6 25.1 24.96676 45.943161 25.1 29.7333333333333 13.1 28.8333333333333 17.3 9.66666666666667
"52" "Lomonosov Moscow State University" "Russia" 2016 161 "151-175" 75.4 66.7 57.8 8.6 95.7 51.9 105.318756 61.52401 33.5083333333333 28.825 35.3166666666667 43.6083333333333 29.6166666666667 19.05
"53" "King Abdulaziz University" "Saudi Arabia" 2016 251 "251-300" 23.9 11.8 93 76.6 73.1 42.5 45.079162 23.885942 22.7 80 23.35 69.3 26.55 16.8
"54" "University of Belgrade" "Serbia" 2016 601 "601-800" 20.4 13.2 30.5 14 45.6 17.7 21.005859 44.016521 NA NA NA NA NA NA
"55" "National University of Singapore" "Singapore" 2016 26 "26-50" 71.7 84.5 96.2 79.4 49.8 79.2 103.819836 1.352083 48.4 94.6 85.6 99.9 68.2 61.3
"56" "Comenius University in Bratislava" "Slovakia" 2016 601 "601-800" 23 10.3 46.9 19.6 28 20.1 19.699024 48.669026 23.3 30.6 24.9 33.2 20.2 8.6
"57" "University of Maribor" "Slovenia" 2016 501 "501-600" 17.1 11.5 33.6 42.1 38.7 24.7 14.995463 46.151241 24.9 34.5 24 32.3 22.1 13.6
"58" "University of Cape Town" "South Africa" 2016 120 "101-125" 34.9 38.7 80.2 85.6 92.7 56.1 22.937506 -30.559482 23.74 50.3 38.26 63.82 31.44 24.94
"59" "Seoul National University" "South Korea" 2016 85 "76-100" 66.5 70.5 30.9 50 85.4 60.5 127.766922 35.907757 28.0173913043478 30.5869565217391 34.7478260869565 59.9347826086957 30.295652173913 25.604347826087
"60" "Autonomous University of Barcelona" "Spain" 2016 146 "126-150" 40.3 40 50.3 83.8 34.9 53.8 -3.74922 40.463667 23.65 40.5166666666667 42.3208333333333 35.5875 28.6666666666667 16.4833333333333
"61" "Karolinska Institute" "Sweden" 2016 28 "26-50" 60.6 81.1 73.1 92.2 75.8 77.5 18.643501 60.128161 31.68 59.58 74.98 53.18 48.96 37.23
"62" "ETH Zurich – Swiss Federal Institute of Technology Zurich" "Switzerland" 2016 9 "0-25" 77 95 97.9 91.1 80 88.3 8.227512 46.818188 37.6 92.3888888888889 73.9333333333333 65.5777777777778 52.7 35.5
"63" "National Taiwan University" "Taiwan" 2016 167 "151-175" 54.1 58 27.7 47.3 49.6 51.1 120.960515 23.69781 22.8652173913043 22.7 25.6347826086957 53.2695652173913 24.7130434782609 23.7304347826087
"64" "Mahidol University" "Thailand" 2016 501 "501-600" 26.8 15.1 44.1 28.3 71.6 26.2 100.992541 15.870032 19.0666666666667 30.7666666666667 23.9 40.9666666666667 19.2666666666667 10.15
"65" "Koç University" "Turkey" 2016 251 "251-300" 21.2 27.1 53.5 74.9 82.4 43 35.243322 38.963745 20.44 26.41 29.55 57.03 24 18.63
"66" "Makerere University" "Uganda" 2016 401 "401-500" 15.1 10.6 58 70.7 28 34 32.290275 1.373333 NA NA NA NA NA NA
"67" "Taras Shevchenko National University of Kyiv" "Ukraine" 2016 601 "601-800" 27.9 11 28.2 4.2 28 15.7 31.16558 48.379433 21.7 48.4 1.7 28.8 14 8.9
"68" "United Arab Emirates University" "United Arab Emirates" 2016 501 "501-600" 18.8 14.8 95 21.7 30.1 24.5 53.847818 23.424076 12.4 95.6 13.3 33.3 18.9 10.6
"69" "University of Oxford" "United Kingdom" 2016 2 "0-25" 86.5 98.9 94.4 98.8 73.1 94.2 -3.435973 55.378051 31.4623376623377 78.5038961038961 60.2909090909091 33.8142857142857 43.2675324675325 30.0207792207792
"70" "California Institute of Technology" "United States of America" 2016 1 "0-25" 95.6 97.6 64 99.8 97.8 95.2 -95.712891 37.09024 40.5239726027397 42.427397260274 70.477397260274 44.1383561643836 48.6527397260274 36.9253424657534
